time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
164.5,119.16189090939592,26.067359654877087,1.2737991039240049,-4.727407255501382,0.712919314759138,0.7980608159793972,354.06072489229956,10.0,-31.942239358858092,0.5574972472721964,-0.08250882169116794,0.0,31.942239358858092,81.80896047502756,-9.708485091861803
165.0,119.16189105614426,26.067359336865856,1.2745076780321036,-8.682568584599343,0.7008700825617622,0.7709419845055218,350.0696170273638,10.0,-32.1072645073881,0.5603774794626376,-0.15153940933148236,0.0,32.1072645073881,81.77325997175649,-9.694826561957598
165.5,119.16189195771065,26.06736446909239,1.265992659215555,-11.732250531244137,0.7090178870397145,1.0455436556668416,346.34198514068777,10.0,-31.922685071010903,0.5571559605663801,-0.20476640043906405,0.0,31.922685071010903,82.33975688135251,-9.587745280761737
166.0,119.1618932704279,26.06736754085579,1.2389979549887284,-16.534965354469712,0.7500001517582204,0.8857574444505201,342.00727126828036,10.0,-31.684268913002928,0.5529948136191859,-0.28858958713868776,0.0,31.684268913002928,82.67653618147597,-9.446220088051632
166.5,119.16189399999996,26.067372325812336,1.215617797193787,-21.377180669228824,0.7478991986020204,0.776114298686987,337.5618313081533,43.25812340830291,-31.684082722576232,0.5529915639832044,-0.37310218747172785,0.0,31.684082722576232,83.20502906711772,-9.357501198945101
167.0,119.16189399999996,26.067376119170188,1.1843352713854447,-25.508464844061116,0.7263276619961371,1.0338419949304547,333.16620873677925,70.0,-31.475939680355623,0.5493587825813372,-0.4452066986580885,0.0,31.475939680355623,83.62570898700505,-9.34509835782228
167.5,119.16189399999993,26.067376562036095,1.1622111159222426,-30.189871800532927,0.7679306949382,0.9292507575030389,328.86686898306175,70.0,-24.624050999415353,0.4297707651187982,-0.5269126636742885,0.0,24.624050999415353,83.67482241243124,-9.343650359893218
168.0,119.16189399999996,26.067379980882556,1.1605422904430096,-33.62744219484837,0.7961860344329571,0.7660339410931863,324.3396781447756,70.0,-12.656266263034325,0.22089351729902768,-0.5869095853241726,0.0,12.656266263034325,84.05396936135367,-9.33247202221537
168.5,119.16189355679224,26.067381886415507,1.1506438402118537,-37.478096105768245,0.7672593531018823,1.2189149089128168,320.845149552588,70.0,2.9431403790944515,-0.051367489963592264,-0.654116174424521,0.0,-2.9431403790944515,84.26660001836717,-9.37063330563251
169.0,119.16189300000003,26.06738240261734,1.1414047770101632,-40.69371661235389,0.8133636464673575,0.629634085969141,318.0765473936993,70.0,17.168194262482363,-0.29964151650231685,-0.7102393397590883,0.0,-17.168194262482363,84.32549053803086,-9.424713790882379
